Object ID,Pathways,Chimeric?,Common-Name,Credits,Data-Source,Engineered?,Enzymes-Not-Used,Hypothetical-Reactions,In-Pathway,Key-Reactions,Names,Primary-Products,Primary-Reactants,Rate-Limiting-Step,Reaction-List,Regulated-By,Score,Species,Sub-Pathways,Synonyms,Taxonomic-Range,Variants?,Super-Pathways,Link
PWY-5954,PWY-5954,,"(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis",SRI // fulcher,,,,,PWY-5961,,"(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis",,,,RXN-11624 // RXN-9485 // RXN-9484 // RXN-9483 // RXN-9482 // RXN-9481 // RXN-9480 // RXN-9479,,,TAX-5059 // TAX-162425 // TAX-5067 // TAX-46472,,,TAX-4751,,PWY-5961,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5954
PWY-6789,PWY-6789,,"(1,3)-&beta;-D-xylan degradation",SRI // caspi,,,,,,,"(1,3)-&beta;-D-xylan degradation",BETA-D-XYLOSE,13-BETA-D-XYLANS,,3.2.1.72-RXN // 3.2.1.32-RXN,,,TAX-118970 // TAX-33178 // TAX-247155 // TAX-98227,,,TAX-4751 // TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6789
PWY-6717,PWY-6717,,"(1,4)-&beta;-D-xylan degradation",SRI // caspi // brito,,,,,,,"(1,4)-&beta;-D-xylan degradation",BETA-D-XYLOSE,1-4-beta-Xylan,,3.2.1.37-RXN // 3.2.1.8-RXN,,,TAX-5052 // TAX-5061 // TAX-5062 // TAX-6717 // TAX-644223 // TAX-5600 // TAX-203119 // TAX-51453,,,TAX-2759 // TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6717
PWY-8465,PWY-8465,,(1<i>R</i>)-(2-amino-1-hydroxyethyl)phosphonate degradation,SRI // caspi,,,,,,RXN-24064,(1<i>R</i>)-(2-amino-1-hydroxyethyl)phosphonate degradation,ACETYL-COA,CPD-1106,,PHOSPHONOACETALDEHYDE-HYDROLASE-RXN // RXN-24064,,,TAX-654 // TAX-193 // TAX-1492 // TAX-1561206 // TAX-593909 // TAX-314263 // TAX-826 // TAX-29497,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8465
PWY-8124,PWY-8124,,(2-trimethylamino)ethylphosphonate degradation,SRI // caspi,,,,,,,(2-trimethylamino)ethylphosphonate degradation,BETAINE,CPD-22922,,RXN-21275 // RXN-21276,,,TAX-506591,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8124
PWY-8426,PWY-8426,,(2<i>R</i>)-methoxymalonyl-[acp] biosynthesis,SRI // caspi,,,,,,,(2<i>R</i>)-methoxymalonyl-[acp] biosynthesis // methoxylmalonyl-[acp] biosynthesis,,,,RXN-22932 // RXN-16916 // RXN-16915 // RXN-16914,,,TAX-42198 // TAX-1912 // TAX-132248,,methoxylmalonyl-[acp] biosynthesis,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8426
PWY-8425,PWY-8425,,(2<i>S</i>)-ethylmalonyl-CoA biosynthesis,SRI // caspi,,,,,,,(2<i>S</i>)-ethylmalonyl-CoA biosynthesis,,,,3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN // RXN-5901 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-8957,,,TAX-1063 // TAX-272630 // TAX-34007 // TAX-1061 // TAX-1085 // TAX-1902 // TAX-1912 // TAX-132248,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8425
PWY-7907,PWY-7907,,"(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis",SRI // caspi,,,,,,,"(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis // L-2-amino-4-methoxy-trans-3-butenoic acid biosynthesis // 4-methoxyvinylglycine biosynthesis",,,,RXN-19486 // RXN-19484 // RXN-18810 // RXN-18809 // RXN-18808 // RXN-18807 // RXN-18803 // RXN-17190 // RXN-18804 // RXN-18805,,,TAX-287,,L-2-amino-4-methoxy-trans-3-butenoic acid biosynthesis // 4-methoxyvinylglycine biosynthesis,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7907
PWY-5434,PWY-5434,,"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I",dreher // THE-ARABIDOPSIS-INFORMATION-RESOURCE // tissier,,,,RXN-11911 // RXN-8619,,,"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I // nerolidol biosynthesis // 4,8-dimethyl-1,3(<i>E</i>),7-nonatriene biosynthesis // DMNT biosynthesis",,,,RXN-11911 // RXN-8616 // RXN-11575 // RXN-8619,,,TAX-3659 // TAX-3635 // TAX-3750 // TAX-3884 // TAX-47664 // TAX-3695 // TAX-29760 // TAX-4577 // ORG-5993,,"nerolidol biosynthesis // 4,8-dimethyl-1,3(<i>E</i>),7-nonatriene biosynthesis // DMNT biosynthesis",TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5434
PWY-6007,PWY-6007,,"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II",SRI // PMN // caspi // THE-ARABIDOPSIS-INFORMATION-RESOURCE // dreher,,,,,,,"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II",,,,RXN-19692 // RXN-9684,,,ORG-5993,,,TAX-3193,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6007
PWY-7709,PWY-7709,,(3<i>R</i>)-linalool biosynthesis,SRI // caspi,,,,,PWY2OL-4,4.2.3.26-RXN,(3<i>R</i>)-linalool biosynthesis // (<i>R</i>)-linalool biosynthesis,,,,GPPSYN-RXN // 4.2.3.26-RXN,,,TAX-35608 // TAX-39329 // TAX-650269 // TAX-4081,,(<i>R</i>)-linalool biosynthesis,TAX-3398 // TAX-4751,,PWY2OL-4,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7709
PWY-8320,PWY-8320,,(3<i>R</i>)-N-[(2<i>S</i>)-1-hydroxy-6-[(3<i>R</i>)-3-isocyanobutanamido]hexan-2-yl]-3-isocyanobutanamide biosynthesis,SRI // caspi,,,,,,,(3<i>R</i>)-N-[(2<i>S</i>)-1-hydroxy-6-[(3<i>R</i>)-3-isocyanobutanamido]hexan-2-yl]-3-isocyanobutanamide biosynthesis // isonitrile lipopeptide biosynthesis,,,,RXN-22664 // RXN-22666 // RXN-22665 // RXN-22659 // RXN-22658 // RXN-22663 // RXN-22660,,,TAX-116188,,isonitrile lipopeptide biosynthesis,TAX-201174,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8320
PWY-8299,PWY-8299,,(3<i>S</i>)-diazinane-3-carboxylate biosynthesis,SRI // caspi,,,,,,,(3<i>S</i>)-diazinane-3-carboxylate biosynthesis // L-piperazate biosynthesis,,,,RXN-13783 // RXN-22541,,,TAX-345341 // TAX-67297 // TAX-457427 // TAX-1009461,,L-piperazate biosynthesis,TAX-201174,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8299
PWY-7141,PWY-7141,,(3<i>S</i>)-linalool biosynthesis,SRI // brito,,,,,PWY2OL-4,4.2.3.25-RXN,(3<i>S</i>)-linalool biosynthesis // (<i>S</i>)-linalool biosynthesis // <i>S</i>-(+)-linalool biosynthesis,,,,4.2.3.25-RXN // GPPSYN-RXN,,,TAX-36903,,(<i>S</i>)-linalool biosynthesis // <i>S</i>-(+)-linalool biosynthesis,TAX-2759,,PWY2OL-4,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7141
PWY-8441,PWY-8441,,(4<i>R</i>)-4-[(<i>E</i>)-2-butenyl]-4-methyl-L-threonine biosynthesis,SRI // caspi,,,,,,,"(4<i>R</i>)-4-[(<i>E</i>)-2-butenyl]-4-methyl-L-threonine biosynthesis // 2-Bmt biosynthesis // (2S,3R,4R,6E)-3-hydroxy-4-methyl-2-amino-6-octenoate",,,,RXN-23781 // RXN-23780 // RXN-23779 // RXN-23778 // RXN-23777,,,TAX-29910,,"2-Bmt biosynthesis // (2S,3R,4R,6E)-3-hydroxy-4-methyl-2-amino-6-octenoate",TAX-4751,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8441
PWY-5922,PWY-5922,,(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation,SRI // caspi,,,,,,RXN-9424 // RXN-9403,(4<i>R</i>)-carveol and (4<i>R</i>)-dihydrocarveol degradation,CPD-10071 // CPD-10054,CPD-10031 // CPD-10029 // CPD-10030 // CPD-10027 // CPD-10050 // CPD-10051,,RXN-9434 // RXN-9433 // RXN-9436 // RXN-9435 // RXN-9427 // RXN-9392 // RXN-9424 // RXN-9406 // RXN-9405 // RXN-9404 // RXN-9403 // RXN-9394 // RXN-9391 // RXN-9400,,,ORG-6040,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5922
PWY-5928,PWY-5928,,(4<i>R</i>)-carvone biosynthesis,SRI // caspi,,,,,,,(4<i>R</i>)-carvone biosynthesis,,,,4.2.3.16-RXN // CARVEOL-DEHYDROGENASE-RXN // --LIMONENE-6-MONOOXYGENASE-RXN,,,TAX-34256 // TAX-29719,,,TAX-4136,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5928
PWY-5927,PWY-5927,,(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation,SRI // caspi,,,,,,,(4<i>S</i>)-carveol and (4<i>S</i>)-dihydrocarveol degradation,CPD-10072 // CPD-10066,CPD-10034 // CPD-10026 // CPD-10032 // CPD-10033 // CPD-260 // CPD-10052,,RXN-9432 // RXN-9431 // RXN-9430 // RXN-9429 // RXN-9428 // RXN-9426 // RXN-9425 // RXN-9397 // RXN-9401 // RXN-9421 // RXN-9420 // RXN-9419 // RXN-9422 // RXN-9423,,,ORG-6040,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5927
PWY-7443,PWY-7443,,(4S)-carvone biosynthesis,O-28 // hartmut,,,,,,,(4S)-carvone biosynthesis // (+)-carvone biosynthesis // D-carvone biosynthesis,,,RXN-10746,RXN-9397 // RXN-10746 // 4.2.3.20-RXN,,,TAX-48032 // TAX-2849020,,(+)-carvone biosynthesis // D-carvone biosynthesis,TAX-71274,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7443
PWY-7728,PWY-7728,,"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)",SRI // caspi,,,,,,RXN-17118,"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)",,,,RXN-17118 // RXN-16114 // RXN-16113 // RXN-16112 // RXN-16079,,,TAX-9606,,,TAX-2759,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7728
PWY-7726,PWY-7726,,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)",SRI // caspi,,,,,,RXN-17112,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase) // (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)",,,,RXN-17116 // RXN-17115 // RXN-17114 // RXN-17113 // RXN-17112 // RXN-17111 // RXN-17110 // RXN-17109 // RXN-16081 // RXN-16114 // RXN-16113 // RXN-16112 // RXN-16079,,,TAX-9606,,"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)",TAX-2759,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7726
PWY-5737,PWY-5737,,(5<i>R</i>)-carbapenem carboxylate biosynthesis,SRI // fulcher,,,,RXN-14903,,RXN-8949,(5<i>R</i>)-carbapenem carboxylate biosynthesis // (<i>R</i>)-1-carbapen-2-em-3-carboxylate biosynthesis // (5<i>R</i>)-carbapenem-3-carboxylate biosynthesis,,,,RXN-14903 // RXN-8949 // RXN-8948 // RXN-8947,,,TAX-555 // TAX-243265,,(<i>R</i>)-1-carbapen-2-em-3-carboxylate biosynthesis // (5<i>R</i>)-carbapenem-3-carboxylate biosynthesis,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5737
PWY0-862,PWY0-862,,(5Z)-dodecenoate biosynthesis I,SRI // caspi,,,,,PWY0-881 // PWY-6285 // PWY-6284,5.3.3.14-RXN // RXN-9655,(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I,,,,RXN-9655 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145,,,TAX-1351 // TAX-511145 // TAX-1313,,(5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I,TAX-2,,PWY0-881 // PWY-6285 // PWY-6284,HTTPS://metacyc.org/pathway?orgid=META&id=PWY0-862
PWY-7858,PWY-7858,,(5Z)-dodecenoate biosynthesis II,SRI // caspi,,,,,,RXN-18461 // 5.3.3.14-RXN,(5Z)-dodecenoate biosynthesis II // (5Z)-dodec-5-enoate biosynthesis II // <i>cis</i>-dodecenoate biosynthesis II,,,,RXN-18461 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145,,,TAX-85962,,(5Z)-dodec-5-enoate biosynthesis II // <i>cis</i>-dodecenoate biosynthesis II,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7858
PWY-5361,PWY-5361,,(5<i>Z</i>)-icosenoate biosynthesis,SRI // PMN // caspi // THE-ARABIDOPSIS-INFORMATION-RESOURCE // zhang,,,,,,,(5<i>Z</i>)-icosenoate biosynthesis // &Delta;5-eicosenoic acid biosynthesis // &Delta;5-eicosenoate biosynthesis // &Delta;5-icosenoic acid biosynthesis // (5<i>Z</i>)-icos-5-enoate biosynthesis // &Delta;5-icosenoate biosynthesis,,,,RXN-8372,,,TAX-28973 // TAX-42439,,&Delta;5-eicosenoic acid biosynthesis // &Delta;5-eicosenoate biosynthesis // &Delta;5-icosenoic acid biosynthesis // (5<i>Z</i>)-icos-5-enoate biosynthesis // &Delta;5-icosenoate biosynthesis,TAX-3398,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5361
PWY-7590,PWY-7590,,"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis",SRI // caspi,,,,,,,"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis",,,,RXN-16049 // RXN-16047 // RXN-16048,,,TAX-3708 // TAX-3562 // ORG-5993,,,TAX-33090,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7590
PWY-7654,PWY-7654,,"(8<i>E</i>,10<i>E</i>)-dodeca-8,10-dienol biosynthesis",SRI // caspi,,,,,,,"(8<i>E</i>,10<i>E</i>)-dodeca-8,10-dienol biosynthesis",,,,RXN-16540 // RXN-14272 // RXN-14271 // 2.3.1.155-RXN // RXN-14131 // RXN-14273 // RXN-12507 // RXN-14268 // RXN-16541 // RXN-16542 // RXN-16543,,,TAX-82600,,,TAX-7088,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7654
PWY-7035,PWY-7035,,(9<i>Z</i>)-tricosene biosynthesis,SRI // caspi,,,,,,RXN-13288,(9<i>Z</i>)-tricosene biosynthesis // (<i>Z</i>)-9-tricosene biosynthesis,CPD-14266,,,RXN-14486 // RXN-14485 // RXN-14484 // RXN-13322 // RXN-20382 // RXN-20381 // RXN-20380 // RXN-20379 // RXN-20375 // RXN-20376 // RXN-20377 // RXN-20378 // RXN-13289 // RXN-13288,,,TAX-7370,,(<i>Z</i>)-9-tricosene biosynthesis,TAX-50557,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7035
PWY-7805,PWY-7805,,(aminomethyl)phosphonate degradation,SRI // caspi,,,,,,,(aminomethyl)phosphonate degradation,Pi,CPD0-1074,,INORGPYROPHOSPHAT-RXN // ADENPRIBOSYLTRAN-RXN // RXN0-1401 // RXN0-6710 // RXN-17956 // RXN-17955 // RXN-17954 // RXN0-7014,,,TAX-1404 // TAX-511145 // TAX-272915 // TAX-37927 // TAX-382,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7805
PWY-6668,PWY-6668,,"(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis",THE-ARABIDOPSIS-INFORMATION-RESOURCE // dreher,,,,RXN-8620,,,"(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis // TMTT biosynthesis",,,,RXN-8620 // RXN-10441,,,TAX-3884 // ORG-5993,,TMTT biosynthesis,TAX-35493,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6668
KDO-LIPASYN-PWY,KDO-LIPASYN-PWY,,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>),TIGR // djohnson,,,,,LPSSYN-PWY,,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>),,,,MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN,,,TAX-511145,,,TAX-33090 // TAX-1224,,LPSSYN-PWY,HTTPS://metacyc.org/pathway?orgid=META&id=KDO-LIPASYN-PWY
PWY-8285,PWY-8285,,(Kdo)<sub>2</sub>-lipid A biosynthesis (generic),SRI // caspi,,,,,,,(Kdo)<sub>2</sub>-lipid A biosynthesis (generic),,,,RXN-22489 // RXN-22488,,,TAX-511145,,,TAX-200940 // TAX-544448 // TAX-909932 // TAX-1798711 // TAX-1783257 // TAX-508458 // TAX-203691 // TAX-40117 // TAX-1802340 // TAX-2698788 // TAX-32066 // TAX-1783270 // TAX-74152 // TAX-68297 // TAX-200930 // TAX-2138240 // TAX-2716431 // TAX-200938 // TAX-1930617 // TAX-2498710 // TAX-2323 // TAX-200783 // TAX-57723 // TAX-1224,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8285
PWY2DNV-2,PWY2DNV-2,,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>H. pylori</i>),SRI // caspi,,,,,,,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>H. pylori</i>),,,,RXN2DNV-7 // RXN2DNV-6,,0.44000003,TAX-85962,,,TAX-210,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY2DNV-2
PWY-8247,PWY-8247,,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. gingivalis</i>),SRI // caspi,,,,,,RXN-22245 // RXN-22246,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. gingivalis</i>),,,,RXN-22273 // RXN-22262 // RXN-22253 // RXN-22252 // RXN-22251 // RXN-22250,,,TAX-1125722,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8247
PWY-8075,PWY-8075,,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. putida</i>),SRI // caspi,,,,,,,(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. putida</i>),,,,RXN-20796 // RXN-20795 // RXN-20794 // RXN-20793 // RXN-20792,,,TAX-160488,,,TAX-33090 // TAX-1224,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-8075
PWY2B4Q-7,PWY2B4Q-7,,(Kdo)<sub>2</sub>-lipid A biosynthesis I (<i>Brucella</i>),SRI // caspi,,,,,,,(Kdo)<sub>2</sub>-lipid A biosynthesis I (<i>Brucella</i>),,,,RXN2B4Q-66 // RXN2B4Q-58 // RXN2B4Q-57 // RXN2B4Q-56,,0.44000003,TAX-359391,,,TAX-118882,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY2B4Q-7
PWY2DNV-3,PWY2DNV-3,,(Kdo)<sub>2</sub>-lipid A modification (<i>H. pylori</i>),SRI // caspi,,,,,,,(Kdo)<sub>2</sub>-lipid A modification (<i>H. pylori</i>),,,,RXN2DNV-12 // RXN2DNV-11 // RXN2DNV-10 // RXN2DNV-9 // RXN2DNV-8,,0.44000003,TAX-85962,,,TAX-210,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY2DNV-3
PWY-7216,PWY-7216,,(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered),SRI // brito,,T,,,PWY-7218,,(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered) // (R)- and (S)-3-hydroxybutyrate biosynthesis,,,,RXN-14251 // RXN-14255 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-5901,,,TAX-1488 // TAX-272562 // TAX-106590 // TAX-511145,,(R)- and (S)-3-hydroxybutyrate biosynthesis,TAX-2,,PWY-7218,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7216
P601-PWY,P601-PWY,,(<i>R</i>)-camphor degradation,SRI // caspi // O-18 // pellegrini-toole,,,,,,R541-RXN,"(<i>R</i>)-camphor degradation // (+)-camphor degradation // camphor 2,5 hydroxylating system // D-camphor degradation",ISOBUTYRYL-COA // ACETYL-COA // Donor-H2,CPD-862,,RXN-13045 // R547-RXN // R546-RXN // R545-RXN // R544-RXN // R543-RXN // R542-RXN // R541-RXN,,,ORG-5941,,"(+)-camphor degradation // camphor 2,5 hydroxylating system // D-camphor degradation",TAX-1224,,,HTTPS://metacyc.org/pathway?orgid=META&id=P601-PWY
PWY-7522,PWY-7522,,(<i>R</i>)-canadine biosynthesis,O-28 // hartmut,,,,,,,(<i>R</i>)-canadine biosynthesis,,,RXN-15641,RXN-15641 // RXN-15640,,,TAX-581246,,,TAX-3465 // TAX-3398,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-7522
PWY-6642,PWY-6642,,(<i>R</i>)-cysteate degradation,SRI // caspi,,,,,,,(<i>R</i>)-cysteate degradation,PYRUVATE,L-CYSTEATE,,RXN-11691 // R230-RXN // RXN-11737,,,ORG-6160,,,TAX-2,,,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-6642
PWY-5494,PWY-5494,,(R)-lactate fermentation to propanoate II (acrylate pathway),SRI // caspi,,,,,PWY-8188,LACTOYL-COA-DEHYDRATASE-RXN,"(R)-lactate fermentation to propanoate II (acrylate pathway) // propionate fermentation, nonrandomizing pathway // acrylate pathway // propionate fermentation",PROPIONATE,D-LACTATE,,RXN-8568 // PROPIONATE-COA-TRANSFERASE-RXN // LACTOYL-COA-DEHYDRATASE-RXN // LACCOA-RXN,,,TAX-28446 // TAX-907 // TAX-839,,"propionate fermentation, nonrandomizing pathway // acrylate pathway // propionate fermentation",TAX-2,,PWY-8188 // PROPFERM-PWY,HTTPS://metacyc.org/pathway?orgid=META&id=PWY-5494
